"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"146858","884.69","156","32","10","8B","16","1978-06-23 00:00:00","182","78","0"
"32701","817.53","40","8","3","8A","20","1977-06-29 00:00:00","183","78","0"
"14898","784.11","18","7","4","7C+","18","1971-08-12 00:00:00","135","68","0"
"378797","794.12","459","49","14","8B","16","1982-04-02 00:00:00","178","63","0"
"35541","789.80","22","9","3","8A","20","1978-08-28 00:00:00","170","68","0"
"63043","724.63","77","20","3","7C","22","1974-03-29 00:00:00","174","63","0"
"48496","499.96","88","22","8","7A","16","1979-12-17 00:00:00","178","63","0"
"406070","892.46","452","47","22","8B","17","1973-09-27 00:00:00","182","78","0"
"122750","767.19","129","25","7","8A","18","1982-04-28 00:00:00","182","73","0"
"780099","947.87","778","53","17","9A","16","1985-09-08 00:00:00","172","63","0"
"28034","718.82","37","13","4","7B","21","1968-10-04 00:00:00","180","73","0"
"50989","772.56","63","10","3","8A","17","1973-10-25 00:00:00","181","78","0"
"432792","928.74","432","37","21","8C+","19","1973-01-24 00:00:00","170","68","0"
"249927","808.83","249","42","11","8C","14","1985-03-29 00:00:00","175","68","0"
"222888","753.00","240","20","14","8A+","19","1978-03-10 00:00:00","174","63","0"
"18143","671.96","27","6","2","7C+","14","1981-05-16 00:00:00","166","73","0"
"775507","834.78","881","45","18","8B","20","1973-04-16 00:00:00","185","78","0"
"734850","1035.00","688","83","15","9A+","10","1986-05-30 00:00:00","178","68","0"
"969891","783.43","1204","42","33","8A+","12","1972-01-05 00:00:00","179","83","0"
"217657","797.28","266","44","13","8A","23","1973-02-16 00:00:00","180","73","0"
"32554","856.68","37","19","4","7C+","27","1968-07-23 00:00:00","176","68","0"
"202436","1054.35","189","22","17","8C+","16","1980-12-27 00:00:00","190","73","0"
"687589","1072.68","628","102","17","9A+","16","1980-04-12 00:00:00","173","68","0"
"44692","545.02","82","13","6","6B+","27","1971-12-16 00:00:00","180","73","0"
"87657","604.53","144","21","9","7B","20","1971-07-15 00:00:00","173","68","0"
"25652","675.05","34","8","4","7B+","22","1974-12-23 00:00:00","178","63","0"
"978979","1062.95","916","117","15","9A+","9","1987-09-20 00:00:00","170","58","0"
"96017","527.57","178","24","12","7B","18","1973-03-03 00:00:00","170","68","0"
"216307","897.54","241","43","23","8B","17","1975-07-11 00:00:00","171","63","0"
"63563","463.96","127","15","6","7A+","25","1974-10-10 00:00:00","173","68","0"
"2335993","629.48","3565","83","19","8A+","21","1971-06-20 00:00:00","180","78","0"
"56366","695.88","66","4","5","7B","24","1974-01-30 00:00:00","170","68","0"
"50687","496.93","93","6","5","7C","17","1983-10-20 00:00:00","196","73","0"
"106320","733.24","111","15","8","8A","12","1978-05-01 00:00:00","178","63","0"
"25255","870.86","28","10","8","8A","19","1972-09-30 00:00:00","178","73","0"
"400004","586.52","585","35","9","7C","25","1972-04-18 00:00:00","179","68","0"
"196891","989.40","187","27","10","8B+","20","1975-07-08 00:00:00","176","63","0"
"29865","585.59","47","12","4","7B","16","1984-02-16 00:00:00","180","68","0"
"164399","838.77","195","30","8","8A","18","1973-07-27 00:00:00","186","78","0"
"87778","414.05","209","12","9","6C+","42","1958-06-30 00:00:00","181","73","0"
"30136","1076.29","28","10","3","8B+","18","1975-06-18 00:00:00","173","63","0"
"217912","875.15","246","50","17","8A+","15","1984-06-25 00:00:00","185","73","0"
"50889","598.69","81","3","4","7B","19","1980-01-25 00:00:00","171","63","0"
"20104","515.49","35","6","3","7B","16","1984-11-14 00:00:00","190","68","0"
"4406","440.60","10","1","1","6B","21","1979-11-16 00:00:00","180","78","0"
"18463","543.03","31","6","3","7B","21","1979-03-20 00:00:00","176","68","0"
"67857","611.32","105","19","2","7B+","29","1971-12-18 00:00:00","170","68","0"
"30090","791.84","35","5","3","7C+","19","1978-07-27 00:00:00","163","53","0"
"285544","832.49","327","24","14","8B","23","1972-10-31 00:00:00","178","68","0"
"138991","837.30","165","13","5","8B","15","1982-12-15 00:00:00","167","58","0"
"468888","871.54","471","66","18","8C","23","1972-12-22 00:00:00","183","78","0"
"12686","975.85","13","5","3","8A+","11","1984-09-24 00:00:00","168","53","0"
"76036","1013.81","75","15","5","8C","16","1982-02-05 00:00:00","172","73","0"
"118342","471.48","198","25","5","7A","25","1975-04-09 00:00:00","180","73","0"
"132186","592.76","193","21","7","7B+","24","1974-10-11 00:00:00","188","83","0"
"9040","602.67","15","2","2","6C+","24","1975-03-13 00:00:00","177","63","0"
"8335","833.50","10","2","1","7C","41","1974-03-15 00:00:00","182","73","0"
"88706","739.22","111","16","6","7C+","19","1981-01-15 00:00:00","178","68","0"
"282828","829.41","313","38","20","8A+","16","1972-03-01 00:00:00","173","68","0"
"10439","579.94","14","5","2","7A+","14","1981-12-28 00:00:00","179","78","0"
"156929","574.83","212","14","11","7C+","24","1968-11-20 00:00:00","190","83","0"
"69719","501.58","130","13","5","7B","19","1979-09-15 00:00:00","172","63","0"
"187633","619.25","297","21","12","7B+","22","1978-10-11 00:00:00","183","68","0"
"123113","436.57","280","29","11","7B+","20","1969-03-25 00:00:00","186","73","0"
"339707","1029.42","269","71","15","8C","17","1977-04-13 00:00:00","176","63","0"
"1640","546.67","3","2","2","6B","27","1972-04-11 00:00:00","175","73","0"
"25709","642.73","38","9","2","7B","21","1978-06-30 00:00:00","187","83","0"
"4375","625.00","7","4","4","6C+","15","1977-10-12 00:00:00","181","73","0"
"516830","932.91","524","45","19","8C","21","1967-12-28 00:00:00","171","63","0"
"25453","848.43","30","5","3","8A","25","1975-12-15 00:00:00","185","63","0"
"1139964","799.41","1333","76","18","8B","24","1973-12-24 00:00:00","182","73","0"
"101140","842.83","95","34","6","8B","29","1971-08-10 00:00:00","178","68","0"
"30247","817.49","36","14","14","7C+","23","1976-07-25 00:00:00","177","73","0"
"18596","546.94","32","3","3","7B+","12","1986-09-07 00:00:00","168","53","0"
"165338","570.13","246","12","8","7C","21","1973-08-03 00:00:00","186","73","0"
"451746","536.52","741","31","16","7C","14","1978-11-02 00:00:00","170","63","0"
"272635","759.43","342","38","13","8A+","14","1983-05-30 00:00:00","182","83","0"
"186996","489.52","303","31","12","7C","26","1964-09-26 00:00:00","186","83","0"
"158065","786.39","189","37","9","8A","16","1980-12-29 00:00:00","173","63","0"
"102189","704.75","138","27","10","7C+","18","1976-02-02 00:00:00","160","68","0"
"80181","749.36","102","20","7","8A+","19","1977-12-21 00:00:00","145","48","1"
"317130","981.83","312","32","9","8B+","12","1974-06-14 00:00:00","170","63","0"
"188126","891.59","178","22","12","8B","27","1971-08-15 00:00:00","186","73","0"
"5995","545.00","11","3","3","7A+","14","1979-06-25 00:00:00","185","78","0"
"2645","377.86","7","1","2","6B+","17","1983-10-05 00:00:00","182","53","0"
"57528","553.15","83","15","6","7C+","19","1981-05-18 00:00:00","170","58","0"
"524290","884.13","571","75","16","8B+","21","1973-04-24 00:00:00","162","53","0"
"3961","396.10","10","4","1","6A","26","1974-06-12 00:00:00","167","63","0"
"138171","832.36","159","28","10","8A+","24","1976-12-16 00:00:00","173","63","0"
"68442","705.59","85","24","6","8A","24","1972-04-30 00:00:00","174","73","0"
"538847","742.21","679","62","18","8B+","17","1980-12-05 00:00:00","186","73","0"
"57564","810.76","68","6","6","8A+","26","1966-06-06 00:00:00","175","68","0"
"101097","777.67","122","7","6","8A+","16","1966-07-13 00:00:00","177","73","0"
"79252","677.37","106","5","5","7C","20","1971-09-22 00:00:00","177","63","0"
"144022","660.65","210","10","5","7B+","18","1981-11-21 00:00:00","183","73","0"
"249709","975.43","245","31","16","8B+","5","1980-11-21 00:00:00","189","73","0"
"21058","679.29","30","7","3","7B+","18","1961-08-18 00:00:00","183","68","0"
"564280","831.05","636","108","23","8B","20","1973-08-12 00:00:00","184","78","0"
"189412","789.22","206","20","12","8A","20","1965-02-22 00:00:00","172","68","0"
"423438","806.55","504","64","15","8A+","22","1975-06-12 00:00:00","180","68","0"
"27400","1014.81","27","10","4","8B","17","1971-03-10 00:00:00","173","58","0"
"33488","728.00","45","11","3","7B+","15","1975-06-21 00:00:00","180","73","0"
"906","453.00","2","1","1","6A","15","1985-06-23 00:00:00","175","53","1"
"146188","745.86","175","20","14","7C","19","1976-11-26 00:00:00","179","73","0"
"87770","805.23","86","19","10","8A","17","1977-12-20 00:00:00","189","78","0"
"45506","784.59","56","16","3","8A","15","1971-01-11 00:00:00","173","78","0"
"137979","779.54","175","16","15","8A+","16","1973-05-28 00:00:00","176","68","0"
"6754","562.83","12","5","4","7A","24","1971-04-11 00:00:00","176","88","0"
