"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"526063","860.99","598","59","12","8C+","15","1990-01-01 00:00:00","180","73","0"
"49591","539.03","88","19","5","7A","18","1989-10-25 00:00:00","178","58","0"
"682319","770.11","863","104","23","8A+","23","1965-12-16 00:00:00","173","73","0"
"225405","610.85","240","16","10","8A+","27","1979-03-07 00:00:00","176","63","0"
"202358","681.34","263","33","12","7C","20","1981-10-06 00:00:00","178","68","0"
"8245","687.08","12","4","2","7A","20","1986-01-18 00:00:00","188","78","0"
"34070","1032.42","33","8","3","8C+","8","1992-07-03 00:00:00","165","53","0"
"308969","863.04","355","57","16","8B+","13","1986-03-15 00:00:00","178","73","0"
"184580","782.12","217","28","10","8A","20","1978-11-11 00:00:00","176","63","0"
"21940","731.33","30","10","3","7B","21","1981-01-23 00:00:00","177","73","0"
"59790","949.05","62","24","7","8A+","18","1982-05-26 00:00:00","182","68","0"
"2495","311.88","8","3","2","6A","27","1980-09-13 00:00:00","178","58","0"
"76497","493.53","149","22","4","7A","22","1978-12-28 00:00:00","152","53","1"
"91898","827.91","110","10","8","8A","12","1989-12-02 00:00:00","183","68","0"
"80619","726.30","110","13","3","8A","16","1978-02-03 00:00:00","180","73","0"
"6762","676.20","10","5","1","7A","27","1978-10-05 00:00:00","178","68","0"
"585139","762.89","736","55","14","8B+","24","1976-02-17 00:00:00","175","63","0"
"42755","585.68","69","19","8","7B","23","1983-05-26 00:00:00","170","68","0"
"11935","795.67","15","4","2","7C+","23","1980-03-01 00:00:00","168","58","0"
"83615","486.13","171","20","9","6C","24","1983-12-30 00:00:00","173","68","0"
"9484","790.33","11","4","3","7C+","12","1977-03-11 00:00:00","180","78","0"
"4450","741.67","6","4","1","7B","17","1984-04-19 00:00:00","190","78","0"
"8757","796.09","11","4","3","8A","12","1985-12-27 00:00:00","180","73","0"
"62195","749.34","83","17","3","7C+","15","1986-03-03 00:00:00","190","83","0"
"500","250.00","2","1","1","5A","21","1986-08-14 00:00:00","182","88","0"
"501973","866.97","432","63","12","8B+","20","1982-02-19 00:00:00","182","73","0"
"119057","869.03","124","13","4","8A","14","1971-06-22 00:00:00","175","68","0"
"73572","521.79","110","16","5","6C","22","1977-05-12 00:00:00","193","78","0"
"50667","675.56","75","3","3","8A","10","1991-08-22 00:00:00","172","53","0"
"72010","727.37","98","12","6","7B","32","1978-06-11 00:00:00","172","73","0"
"32136","535.60","33","2","3","6C+","25","1982-10-02 00:00:00","172","63","0"
"42246","782.33","54","8","6","8B","14","1993-10-21 00:00:00","164","53","0"
"3000","1000.00","3","3","2","8A","16","1988-10-14 00:00:00","173","58","0"
"244898","661.89","333","14","8","8A","17","1970-07-19 00:00:00","180","63","0"
"15186","523.66","28","5","3","7A","39","1967-04-20 00:00:00","176","63","0"
"7855","785.50","10","5","2","7C+","19","1984-05-18 00:00:00","179","73","0"
"11468","347.52","33","7","2","6C","19","1987-06-18 00:00:00","178","63","0"
"86009","761.14","113","17","5","8A","14","1987-07-22 00:00:00","164","48","1"
"126558","790.99","159","31","5","8A+","18","1985-04-24 00:00:00","174","68","0"
"77335","655.38","118","16","8","7C+","17","1985-04-06 00:00:00","180","68","0"
"25616","800.50","32","8","3","7C+","16","1984-11-13 00:00:00","190","83","0"
"2012","287.43","7","2","1","6A","25","1982-03-24 00:00:00","187","78","0"
"27202","735.19","33","3","2","7C","16","1990-10-04 00:00:00","178","63","0"
"296253","1046.83","283","37","11","9A","17","1988-08-05 00:00:00","178","68","0"
"101016","777.05","115","17","6","8C","12","1988-05-16 00:00:00","176","68","0"
"129799","576.88","198","26","5","7A","23","1978-08-06 00:00:00","192","88","0"
"28205","805.86","34","6","6","8A","15","1985-05-05 00:00:00","177","68","0"
"412925","783.54","518","32","7","8B","6","1994-05-04 00:00:00","176","63","0"
"14076","521.33","26","2","3","7C","15","1992-06-01 00:00:00","178","63","0"
"17607","733.63","24","4","2","7C","28","1970-03-29 00:00:00","186","68","0"
"1046","261.50","4","3","1","5C","31","1976-05-08 00:00:00","154","43","1"
"8606","782.36","11","4","3","7B","25","1979-11-27 00:00:00","168","53","0"
"26347","548.90","41","7","2","7B","19","1988-05-19 00:00:00","157","43","1"
"84002","651.18","128","16","10","7B+","18","1988-12-14 00:00:00","188","78","0"
"59954","593.60","98","10","3","7B","11","1995-07-29 00:00:00","166","43","0"
"70677","531.41","120","9","3","7C+","24","1979-09-05 00:00:00","178","73","0"
"41060","641.56","60","12","5","7C+","13","1992-05-13 00:00:00","170","88","0"
"186213","964.83","182","16","5","8C","10","1990-07-24 00:00:00","183","68","0"
"41494","619.31","63","8","7","7A+","23","1976-07-01 00:00:00","169","63","0"
"111540","808.26","138","22","9","7C+","21","1982-12-10 00:00:00","173","63","0"
"2849","712.25","4","4","2","8A+","11","1987-09-24 00:00:00","173","63","0"
"8395","559.67","15","5","1","7A","21","1985-08-07 00:00:00","185","73","0"
"209386","775.50","249","29","7","7C+","24","1976-10-30 00:00:00","165","53","0"
"45012","833.56","42","27","13","8A","21","1974-04-13 00:00:00","176","73","0"
"5044","840.67","6","4","1","7C","11","1980-07-12 00:00:00","179","73","0"
"503034","1074.86","462","52","10","9A+","7","1996-08-26 00:00:00","173","58","0"
"20509","683.63","30","8","2","7C+","14","1991-11-24 00:00:00","175","58","0"
"295000","936.51","279","31","12","8B+","14","1976-07-06 00:00:00","170","63","0"
"12530","626.50","11","5","3","7B+","7","1993-06-15 00:00:00","162","48","0"
"24776","774.25","31","8","3","7C","20","1980-04-10 00:00:00","180","78","0"
"37581","722.71","49","13","4","8A","12","1994-08-28 00:00:00","173","58","0"
"13730","473.45","28","1","8","6A+","16","1955-08-03 00:00:00","170","63","0"
"6095","554.09","11","7","2","7A","12","1994-12-15 00:00:00","160","48","0"
"2641","528.20","5","1","1","7A+","35","1972-10-07 00:00:00","166","63","0"
"142265","740.96","168","22","6","7C+","18","1984-01-20 00:00:00","176","63","0"
"44403","672.77","63","8","6","7C","17","1980-09-25 00:00:00","175","68","0"
"207444","664.88","308","45","11","7C","33","1971-12-26 00:00:00","180","68","0"
"153174","777.53","170","27","11","8A","17","1989-08-24 00:00:00","194","83","0"
"115485","717.30","146","16","11","7C+","24","1979-10-04 00:00:00","156","43","1"
"23563","906.27","26","5","5","8B","12","1986-08-03 00:00:00","175","63","0"
"87454","711.01","121","7","8","8A+","26","1975-10-23 00:00:00","183","83","0"
"269416","794.74","334","48","10","8B","20","1984-12-20 00:00:00","168","58","0"
"41607","630.41","65","14","3","7B+","18","1985-09-14 00:00:00","190","93","0"
"43565","751.12","58","14","9","8A","20","1974-08-23 00:00:00","168","58","1"
"234404","723.47","319","38","7","7C+","18","1987-11-11 00:00:00","178","68","0"
"28473","395.46","51","7","3","6C","15","1989-04-30 00:00:00","176","58","0"
"518924","804.53","635","50","9","8B","17","1985-10-22 00:00:00","175","63","0"
"59017","867.90","52","14","3","7C","10","1979-04-05 00:00:00","172","58","1"
"134466","960.47","140","29","8","8B+","11","1988-09-11 00:00:00","175","68","0"
"73549","835.78","86","16","6","8B","20","1980-08-05 00:00:00","180","68","0"
"56277","618.43","80","17","3","7C","16","1991-01-01 00:00:00","187","73","0"
"101769","692.31","141","14","6","7B+","30","1975-01-17 00:00:00","182","73","0"
"28095","624.33","42","12","2","7B","18","1988-12-07 00:00:00","179","63","0"
"858252","730.43","1138","77","11","8A","14","1987-10-18 00:00:00","186","68","0"
"163032","915.91","172","23","13","8C","19","1982-09-08 00:00:00","165","100","0"
"117828","755.31","152","25","10","7C","18","1969-11-09 00:00:00","173","68","0"
"113601","511.72","169","13","7","7A+","16","1970-06-24 00:00:00","177","68","0"
"4832","966.40","5","2","2","7C+","16","1978-06-22 00:00:00","178","73","0"
"20896","454.26","44","10","4","6B+","32","1975-12-06 00:00:00","169","68","0"
"71657","814.28","87","8","4","8A","17","1989-03-11 00:00:00","170","63","0"
"113067","753.78","150","31","8","7C+","22","1983-09-05 00:00:00","171","63","0"
"39925","753.30","52","7","3","7C+","20","1980-01-07 00:00:00","179","68","0"
"28103","573.53","48","14","4","7A+","16","1989-06-28 00:00:00","186","73","0"
"10241","409.64","23","5","3","7A","21","1979-01-18 00:00:00","173","63","1"
"74678","769.88","96","22","3","8A","20","1979-12-18 00:00:00","182","73","0"
"151884","770.98","192","32","9","8A","19","1985-01-21 00:00:00","189","73","0"
"54017","628.10","86","15","4","7C","17","1989-01-27 00:00:00","185","68","0"
"138425","652.95","195","40","10","7B+","23","1979-01-28 00:00:00","170","53","1"
"131389","864.40","142","25","6","8B","14","1991-08-02 00:00:00","174","63","0"
"449075","509.16","823","23","12","7A","29","1974-03-01 00:00:00","181","78","0"
"107665","774.57","138","24","9","8A","26","1975-03-27 00:00:00","173","63","0"
"197832","661.65","293","26","7","8A","35","1965-08-19 00:00:00","179","73","0"
"292162","762.83","354","22","11","8A+","33","1972-08-22 00:00:00","173","68","0"
"200226","606.75","327","33","11","8A","23","1983-09-05 00:00:00","155","53","1"
"700","700.00","1","1","1","7A","17","1965-11-14 00:00:00","175","73","0"
"114387","618.31","169","15","6","8A","18","1978-01-24 00:00:00","166","78","0"
"76235","686.80","101","20","10","7C","19","1981-01-31 00:00:00","186","73","0"
"54452","533.84","99","5","3","7B","26","1981-08-25 00:00:00","170","73","0"
"8518","501.06","17","5","3","6B","27","1980-09-16 00:00:00","175","73","0"
"29914","747.85","33","11","5","8B","16","1974-12-01 00:00:00","170","63","0"
"204677","1033.72","195","53","16","8C+","22","1970-10-26 00:00:00","175","63","0"
"9203","541.35","17","5","1","7A","23","1982-05-18 00:00:00","160","58","1"
"25957","618.02","41","8","3","7B+","22","1983-09-11 00:00:00","180","68","0"
"469354","878.94","514","70","17","8B","17","1979-12-18 00:00:00","178","68","0"
"27085","451.42","59","9","3","7A+","22","1985-05-19 00:00:00","179","73","0"
"1650","825.00","2","1","1","7B+","14","1992-02-25 00:00:00","178","68","0"
"224991","1041.63","212","25","5","8C+","16","1990-12-17 00:00:00","170","53","0"
"120380","584.37","204","35","10","7C+","24","1983-01-02 00:00:00","166","73","0"
"25958","837.35","31","6","1","8A","23","1977-04-15 00:00:00","160","43","1"
"35678","346.39","102","11","7","6B+","26","1974-01-22 00:00:00","160","53","1"
"34512","460.16","75","11","5","7B","24","1980-10-23 00:00:00","183","68","0"
"12822","854.80","15","3","1","7C+","19","1979-08-18 00:00:00","179","73","0"
"700","700.00","1","1","1","7A","16","1984-03-20 00:00:00","178","73","0"
"282363","702.40","379","10","4","8A+","17","1979-09-20 00:00:00","180","83","0"
"79120","608.62","116","17","9","7B+","18","1965-06-22 00:00:00","178","73","0"
"157039","575.23","273","13","10","7A+","23","1977-03-13 00:00:00","180","73","0"
"639200","777.62","810","104","12","8B","19","1982-10-30 00:00:00","175","73","0"
"9450","590.63","16","3","1","7B+","18","1987-10-05 00:00:00","166","58","1"
"15039","683.59","22","13","4","7B+","26","1976-09-22 00:00:00","176","78","0"
"123170","466.55","263","23","5","7A+","27","1980-10-05 00:00:00","165","53","1"
"58228","544.19","22","15","2","7C","15","1992-11-04 00:00:00","185","73","0"
"123547","508.42","228","15","7","7B","28","1975-02-26 00:00:00","170","68","0"
"35016","614.32","54","12","6","7B","24","1978-03-16 00:00:00","178","63","0"
"29365","425.58","62","7","3","7A","19","1988-05-02 00:00:00","178","68","0"
"110567","564.12","190","33","4","7B+","25","1975-05-29 00:00:00","170","63","0"
"90505","973.17","93","14","7","8B","14","1986-10-11 00:00:00","182","78","0"
"49097","539.53","84","8","4","7B","32","1974-02-28 00:00:00","187","78","0"
"9647","742.08","13","6","3","7B","28","1978-01-06 00:00:00","175","68","0"
"309755","515.40","596","41","5","7C","26","1979-09-13 00:00:00","176","73","0"
"509055","848.43","563","57","11","8A+","23","1977-07-04 00:00:00","182","68","0"
"201698","938.13","214","35","12","8B","24","1978-09-14 00:00:00","180","73","0"
"87875","703.00","122","18","5","7B+","18","1978-02-05 00:00:00","175","68","0"
"131801","618.78","200","23","2","7C+","20","1984-11-18 00:00:00","170","53","1"
"64996","812.45","78","21","17","8A+","21","1959-10-08 00:00:00","183","68","0"
"44110","787.68","55","12","3","8A+","11","1988-11-25 00:00:00","180","73","0"
"252102","923.45","249","30","11","8C","21","1964-06-18 00:00:00","169","53","0"
"481249","826.89","503","53","11","8B+","22","1984-08-18 00:00:00","173","68","0"
"1852","926.00","2","2","1","8A","9","1989-11-27 00:00:00","176","68","0"
"105049","636.66","141","11","7","7C","27","1979-01-13 00:00:00","180","73","0"
"153685","853.81","171","33","11","8B","20","1986-06-06 00:00:00","175","63","0"
"616413","868.19","703","61","14","8B","16","1980-05-08 00:00:00","171","73","0"
"227733","737.00","307","26","8","8A+","19","1985-05-13 00:00:00","176","58","0"
"313140","892.14","311","34","10","8C+","10","1990-06-10 00:00:00","170","63","0"
"929685","551.74","1640","61","12","8A","35","1971-08-02 00:00:00","200","88","0"
"19981","605.48","32","2","2","7A","20","1982-09-14 00:00:00","195","83","0"
"18798","537.09","35","11","3","7A","23","1984-09-20 00:00:00","192","78","0"
"475","475.00","1","1","1","5B","16","1987-07-20 00:00:00","173","73","0"
"61794","551.73","97","8","4","7B+","24","1982-12-27 00:00:00","172","58","0"
"2800","400.00","7","4","2","6B","27","1978-08-21 00:00:00","169","58","1"
"161115","526.52","304","30","14","7C","19","1985-05-13 00:00:00","175","58","0"
"129345","958.11","133","19","6","8B+","9","1990-02-06 00:00:00","173","63","0"
"1400","466.67","2","1","1","6B","25","1980-09-16 00:00:00","170","53","1"
"308344","888.60","331","46","7","8B","21","1980-01-17 00:00:00","173","73","0"
"42361","580.29","65","8","5","7B","29","1977-04-30 00:00:00","193","78","0"
"48285","766.43","61","14","5","7C+","20","1986-07-21 00:00:00","180","68","0"
"1246366","704.96","935","54","12","8A+","16","1970-12-25 00:00:00","164","53","0"
"28667","682.55","38","8","3","7C","18","1989-01-15 00:00:00","171","68","0"
"68883","656.03","96","11","5","7C+","13","1989-01-04 00:00:00","185","88","0"
"7056","882.00","8","6","1","8A","19","1981-08-23 00:00:00","175","68","0"
"41317","616.67","63","15","2","7A+","24","1976-05-23 00:00:00","169","63","1"
"2979","175.24","17","5","2","6C","22","1984-07-29 00:00:00","187","88","0"
"80680","720.36","109","19","8","8A","16","1991-06-21 00:00:00","170","63","0"
"241493","757.03","318","28","10","8A","21","1981-04-19 00:00:00","185","78","0"
"620021","775.03","669","32","11","8B+","16","1991-07-15 00:00:00","170","63","0"
"38268","735.92","52","8","3","7C+","12","1988-11-04 00:00:00","169","53","1"
"32844","432.16","76","6","5","7B","23","1977-01-30 00:00:00","175","63","0"
"286155","777.60","349","35","11","8A","25","1981-02-03 00:00:00","180","68","0"
"231439","841.60","264","31","13","8A+","14","1985-03-23 00:00:00","173","68","0"
"9586","599.13","16","8","2","7A","25","1980-12-24 00:00:00","185","68","0"
"200365","756.09","254","20","5","8B","12","1990-02-04 00:00:00","184","68","0"
"218532","723.62","295","20","9","8B","22","1984-04-09 00:00:00","182","78","0"
"26423","498.55","51","6","7","7B","8","1996-02-18 00:00:00","170","53","1"
"10956","521.71","21","5","6","7A+","6","1998-04-01 00:00:00","171","53","1"
"334559","760.36","429","60","9","7C+","25","1977-05-10 00:00:00","170","63","0"
"65978","461.38","143","13","5","7A","26","1981-11-16 00:00:00","176","73","0"
"124574","859.13","144","19","10","8B+","26","1979-09-19 00:00:00","188","78","0"
"29788","726.54","31","8","2","7B","23","1971-07-09 00:00:00","176","73","0"
"256149","783.33","303","28","12","8A+","23","1982-01-24 00:00:00","176","63","0"
"5734","819.14","7","5","1","7B","15","1970-06-24 00:00:00","169","68","0"
"2197","439.40","5","1","2","6C+","23","1984-06-05 00:00:00","165","53","0"
"869666","836.22","974","45","11","8B","18","1985-03-07 00:00:00","165","58","0"
"21484","565.37","33","6","2","7A","22","1973-05-14 00:00:00","175","78","0"
"193900","760.39","204","34","11","8A","25","1974-11-26 00:00:00","169","68","0"
"123666","754.06","161","30","10","8A","29","1977-06-30 00:00:00","173","58","0"
"2430","347.14","7","2","1","5C","30","1977-11-06 00:00:00","195","78","0"
"252137","872.45","276","30","10","8A+","23","1978-02-25 00:00:00","175","63","0"
"112535","886.10","125","5","9","8B","26","1972-09-20 00:00:00","174","63","0"
"76260","886.74","86","12","4","8A+","26","1977-06-09 00:00:00","182","78","0"
"1503","751.50","2","2","2","7A+","19","1980-10-28 00:00:00","172","63","0"
"7087","506.21","8","1","1","6C","23","1977-04-23 00:00:00","166","53","0"
"142872","661.44","178","18","7","7C+","20","1985-10-15 00:00:00","188","68","0"
"369854","884.82","387","41","11","8C","14","1993-04-12 00:00:00","170","53","0"
"73719","609.25","117","9","4","7B","25","1978-10-15 00:00:00","180","68","0"
"100743","819.05","118","12","9","8A+","15","1985-06-03 00:00:00","179","73","0"
"129805","811.28","157","7","7","8A+","15","1979-12-29 00:00:00","170","63","0"
"332826","788.69","397","21","7","8B+","23","1982-08-10 00:00:00","185","73","0"
"140348","671.52","185","20","3","7B+","29","1978-09-12 00:00:00","183","73","0"
"261459","591.54","431","56","10","7C","10","1992-05-27 00:00:00","177","63","0"
"1400","350.00","4","2","1","6A+","25","1976-08-04 00:00:00","168","58","1"
"136779","457.45","289","33","9","7C","25","1980-01-01 00:00:00","185","78","0"
"284763","608.47","462","43","11","7C","26","1981-07-05 00:00:00","165","58","0"
"1251","250.20","5","1","2","6A+","25","1981-09-27 00:00:00","188","83","0"
"209546","818.54","254","48","18","8A+","18","1978-03-08 00:00:00","184","63","0"
"47697","671.79","69","8","5","7B+","21","1986-06-14 00:00:00","179","63","1"
"43208","830.92","47","15","6","8A","11","1984-04-30 00:00:00","184","73","0"
"1499","499.67","3","2","2","7B","16","1984-04-05 00:00:00","193","78","0"
"8596","573.07","15","2","1","6C+","26","1979-09-20 00:00:00","174","63","0"
"31647","645.86","46","7","2","7C","17","1983-02-16 00:00:00","183","63","0"
"3100","442.86","7","1","2","6B+","21","1988-04-17 00:00:00","185","73","0"
"164733","732.15","211","20","10","8A","12","1977-07-25 00:00:00","182","68","0"
"15016","556.15","27","6","4","7B","14","1983-07-20 00:00:00","169","63","0"
"113475","700.46","158","8","7","8A","21","1986-08-02 00:00:00","155","43","1"
"426954","867.79","438","26","15","8C+","18","1982-08-07 00:00:00","178","63","0"
"33796","704.08","44","13","4","7C+","12","1991-03-12 00:00:00","182","73","0"
"253714","862.97","292","31","9","8B","14","1989-07-12 00:00:00","177","63","0"
"736248","799.40","918","61","11","8B+","17","1988-12-07 00:00:00","170","63","0"
"44944","736.79","56","11","4","7C","20","1984-04-04 00:00:00","165","53","1"
"1001604","908.07","1063","90","13","8B+","17","1982-07-08 00:00:00","170","63","0"
"5965","745.63","8","3","1","7B+","22","1974-07-23 00:00:00","164","63","0"
"3795","759.00","5","3","1","7B","19","1967-11-01 00:00:00","166","58","0"
"2785","557.00","4","2","1","6C","24","1983-08-12 00:00:00","166","68","0"
"39666","922.47","40","5","4","8B+","13","1971-08-18 00:00:00","181","58","0"
"22183","492.96","44","8","3","7B","27","1980-06-19 00:00:00","178","63","0"
"782015","959.53","785","47","10","8C","10","1993-10-08 00:00:00","184","68","0"
"1899","379.80","5","2","1","6B","22","1985-11-21 00:00:00","161","58","1"
"70085","348.68","174","14","14","6C","14","1980-08-13 00:00:00","182","68","0"
"70798","580.31","121","5","10","7B","25","1980-09-23 00:00:00","197","78","0"
"89552","806.77","107","14","9","8A","22","1982-07-09 00:00:00","172","78","0"
"101464","985.09","102","27","8","8B+","21","1981-05-28 00:00:00","174","63","0"
"287771","717.63","386","49","14","7B+","20","1981-01-27 00:00:00","163","58","1"
"8108","810.80","10","2","2","8A","20","1984-02-13 00:00:00","184","73","0"
"195068","492.60","381","27","9","7C","19","1988-03-14 00:00:00","167","83","0"
"2670","445.00","6","2","2","5C","25","1982-03-14 00:00:00","189","78","0"
"174747","763.09","222","11","10","8A","12","1991-12-26 00:00:00","184","68","0"
"8505","472.50","18","3","2","6C","24","1977-10-01 00:00:00","164","58","0"
"80106","770.25","104","27","9","8A","24","1979-03-17 00:00:00","178","73","0"
"48407","806.78","60","10","5","8A","20","1985-03-16 00:00:00","168","53","1"
"1300","650.00","2","1","1","7A+","17","1989-08-20 00:00:00","181","78","0"
"12728","795.50","14","10","3","7C","17","1984-07-07 00:00:00","167","53","0"
"640034","879.17","722","66","11","8A+","33","1970-09-22 00:00:00","170","63","0"
"32693","990.70","28","13","3","8C+","11","1981-02-20 00:00:00","180","68","0"
"17903","436.66","38","7","3","6C","27","1978-01-29 00:00:00","173","63","0"
"154103","626.43","241","49","7","7B+","28","1978-03-02 00:00:00","164","58","1"
"9451","787.58","11","6","4","7C","20","1986-12-04 00:00:00","178","68","0"
"105055","583.64","172","10","7","8A+","13","1993-12-18 00:00:00","165","63","0"
"368900","748.28","491","28","8","8A+","20","1987-02-22 00:00:00","181","63","0"
"2918","364.75","8","4","1","6A+","39","1968-02-06 00:00:00","175","78","0"
"272971","694.58","389","46","14","8B","22","1981-08-28 00:00:00","179","73","0"
"179940","523.08","322","25","9","7C+","21","1983-07-08 00:00:00","196","83","0"
"289729","703.23","340","25","17","8A","16","1978-04-15 00:00:00","180","78","0"
"15921","256.79","54","5","3","6B","22","1985-06-19 00:00:00","175","63","0"
"252201","655.07","381","36","9","8B+","16","1986-03-26 00:00:00","163","48","1"
"12350","771.88","15","5","4","7B","28","1971-05-31 00:00:00","172","68","0"
"27433","571.52","48","7","1","7A+","22","1978-04-04 00:00:00","173","63","1"
"280385","970.19","274","31","8","8C","15","1988-06-05 00:00:00","180","68","0"
"351319","817.02","425","32","11","8B","21","1984-08-26 00:00:00","176","63","0"
"6305","573.18","11","6","3","7A","17","1990-02-11 00:00:00","176","68","0"
"16519","660.76","25","6","3","8A","15","1991-09-21 00:00:00","182","73","0"
"423903","717.26","578","26","10","8A+","15","1990-02-02 00:00:00","189","78","0"
"227280","678.45","306","41","10","7C","20","1982-10-16 00:00:00","168","63","1"
"38642","644.03","58","9","2","7A+","7","1992-01-31 00:00:00","163","53","0"
"258888","533.79","468","64","8","7B","29","1978-06-11 00:00:00","186","68","0"
"387749","848.47","414","25","7","8B+","14","1967-02-04 00:00:00","178","68","0"
"209527","799.72","258","22","10","8B+","18","1982-09-14 00:00:00","178","73","0"
"4534","453.40","10","1","2","6C+","25","1973-09-01 00:00:00","185","83","0"
"10009","435.17","20","6","2","6C+","23","1980-05-14 00:00:00","190","43","0"
"40997","569.40","68","7","3","7C+","20","1982-03-27 00:00:00","176","68","0"
"42886","739.41","58","4","4","7C","12","1987-03-07 00:00:00","178","73","0"
"164456","737.47","223","21","13","8A","22","1981-10-18 00:00:00","178","68","0"
"193143","548.70","223","24","9","7C","12","1984-06-30 00:00:00","177","83","0"
"78657","827.97","93","4","4","8B+","18","1986-09-22 00:00:00","175","68","0"
"437870","689.56","586","66","14","8B+","15","1985-11-15 00:00:00","187","78","0"
"288175","983.53","279","25","16","8B+","19","1978-05-17 00:00:00","171","63","0"
"13928","515.85","25","6","1","6B","18","1988-07-07 00:00:00","178","58","0"
"59121","687.45","86","22","3","7C+","16","1988-08-16 00:00:00","180","68","0"
"79236","683.07","109","4","4","7C+","22","1985-12-06 00:00:00","185","78","0"
"78038","907.42","80","14","5","8A+","24","1979-01-30 00:00:00","175","73","0"
"38163","720.06","53","11","2","7C","20","1987-11-01 00:00:00","179","58","0"
"570106","757.11","720","67","11","8A+","24","1980-05-28 00:00:00","163","58","0"
"8687","457.21","19","5","2","7B","22","1985-01-06 00:00:00","184","83","0"
"14858","675.36","22","10","3","7B+","22","1985-11-12 00:00:00","199","88","0"
"88627","619.77","122","11","3","7B","18","1989-01-13 00:00:00","176","73","0"
"11063","502.86","22","6","3","6C+","14","1981-10-07 00:00:00","170","63","1"
"519279","784.41","551","41","11","8B","23","1972-08-26 00:00:00","170","58","0"
"1814666","752.97","2150","59","26","8B+","20","1969-02-02 00:00:00","183","73","0"
"632058","892.74","685","71","11","8B+","20","1984-07-20 00:00:00","181","78","0"
"105908","897.53","115","14","8","8A+","14","1986-03-08 00:00:00","169","63","0"
"453346","992.00","448","71","11","9A","15","1990-12-03 00:00:00","178","63","0"
"32059","763.31","42","8","3","8B","19","1968-08-05 00:00:00","180","68","0"
"3604","257.43","12","5","2","6C","22","1985-08-10 00:00:00","163","53","1"
"84389","703.24","113","17","8","7C+","23","1981-03-19 00:00:00","184","83","0"
"69942","546.42","127","8","8","7C+","19","1988-06-27 00:00:00","181","78","0"
"126406","694.54","175","37","10","7B+","23","1984-09-18 00:00:00","167","58","0"
"500","500.00","1","1","1","6B","17","1972-09-29 00:00:00","180","73","0"
"156077","439.65","351","11","10","7B+","21","1986-07-14 00:00:00","175","68","0"
"6286","196.44","32","4","2","7A","20","1987-12-02 00:00:00","178","78","0"
"176280","593.54","294","26","9","7C+","20","1987-09-14 00:00:00","183","73","0"
"52294","757.88","50","5","4","8B","13","1958-02-12 00:00:00","175","68","0"
"188135","631.33","254","24","8","7B+","38","1968-06-23 00:00:00","177","68","0"
"16809","764.05","21","3","1","7C","11","1990-10-01 00:00:00","186","78","0"
"238807","688.20","306","84","11","8A","32","1975-10-29 00:00:00","172","58","0"
"1445","722.50","2","2","2","7A","23","1957-09-06 00:00:00","180","73","0"
"59509","793.45","73","15","7","7C","13","1983-09-03 00:00:00","173","63","0"
"56393","751.91","74","9","3","8A","24","1978-03-16 00:00:00","182","68","0"
"316361","771.61","348","63","10","8A","24","1979-03-26 00:00:00","179","68","0"
"53627","595.86","88","9","3","7B","28","1979-02-07 00:00:00","172","63","0"
"650","650.00","1","1","1","6C+","20","1987-06-13 00:00:00","180","73","0"
"28523","838.91","33","12","4","7B+","21","1971-01-08 00:00:00","182","73","0"
"189844","584.14","173","29","9","7B","19","1985-02-02 00:00:00","177","73","0"
"12198","871.29","14","6","3","8A","33","1969-10-16 00:00:00","165","58","0"
"700","700.00","1","1","1","7A","26","1974-12-24 00:00:00","169","58","1"
"64875","402.95","158","17","6","7A+","22","1985-12-30 00:00:00","185","78","0"
"20328","752.89","27","12","6","7C+","19","1973-09-02 00:00:00","180","73","0"
"1700","566.67","3","2","2","6C","23","1981-10-23 00:00:00","178","93","0"
"105321","741.70","140","13","8","7C+","18","1988-07-13 00:00:00","161","63","0"
"15405","855.83","18","5","2","8A","16","1985-01-07 00:00:00","172","58","0"
"51423","803.48","48","16","3","8A","13","1990-02-08 00:00:00","165","58","0"
"9223","512.39","18","4","1","7A","22","1984-10-04 00:00:00","187","88","0"
"80441","837.93","96","17","7","8A+","14","1987-07-27 00:00:00","189","73","0"
"5354","446.17","12","1","1","6B","30","1972-01-07 00:00:00","185","100","0"
"33877","651.48","47","3","3","7B+","22","1983-02-15 00:00:00","183","73","0"
"10646","462.87","23","4","3","6C+","21","1986-02-15 00:00:00","185","78","0"
"21618","514.71","42","5","3","7B+","29","1978-03-21 00:00:00","190","73","0"
"29360","524.29","53","14","4","7A+","27","1980-10-08 00:00:00","180","73","0"
"4545","909.00","5","4","5","7C","22","1970-08-14 00:00:00","178","73","0"
"9162","832.91","11","6","4","8A+","12","1980-11-20 00:00:00","176","63","0"
"18299","914.95","20","6","2","8A+","12","1991-09-27 00:00:00","172","58","0"
"35144","976.22","35","13","3","8B+","10","1992-01-01 00:00:00","171","100","0"
"1181190","892.14","1281","86","11","8A","24","1982-04-10 00:00:00","173","63","0"
"22998","638.83","36","5","3","7C","20","1984-11-01 00:00:00","155","73","0"
"17372","510.94","32","8","3","7A+","18","1986-08-07 00:00:00","176","63","0"
"1196704","697.79","1474","42","19","8A+","24","1967-06-20 00:00:00","177","63","0"
"26283","525.66","49","9","1","7A+","19","1988-08-15 00:00:00","182","68","0"
